MD5,SHA1,FileNames
"91e808baec18f44ecf5a680a792f84fb","dcc35c4108b0ba18f4274c0258dd8b87087804e8","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (non filtrati)\Carica Filmato, fotogramma 600.jpg"
"919d7d052ec39ad18e44eac4b0d7f6e4","203bb9e4a6f8a218a1a7afc7a138a00d6bc551ba","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (non filtrati)\Carica Filmato, fotogramma 628.jpg"
"b096a87005c203d4653f8a3dbd2cd137","a46897fd4b3c52b2aabfeafe4db1023f29e346fe","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (non filtrati)\Carica Filmato, fotogramma 660.jpg"
"5589b9ee906bc41e117fdd22c7c74751","c5a5abbdaed93235c5d3ee6cb82cfa6d9fc3d96a","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (non filtrati)\Carica Filmato, fotogramma 708.jpg"
"5b54e7d6172abca8511c4c30e86470d9","06140931da63523462f976d223723d8975e9c8ef","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (non filtrati)\Carica Filmato, fotogramma 861.jpg"
"60ca5b8a88d17229f7eb1a2a61919e7d","a2d4d5ca5d39a1bb209b47338f79a08e8eedc416","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (non filtrati)\Carica Filmato, fotogramma 891.jpg"
"7646fbe3f73ad130ede8333fbc1ebeec","e0110df61b96bfbaaefc1077a2c623375798461a","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (non filtrati)\Carica Filmato, fotogramma 1120.jpg"
"77c2b3f67c9813f9fdedf8368cb7c9c7","c6e70ab1e404ea39fcddca213b3f478704c58a9b","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (non filtrati)\Carica Filmato, fotogramma 1219.jpg"
"5ea5a7adfb1e908a5211f117ec2138a9","d1c4a4f92ffe2a3ad0766187a492b27ed074c92b","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (non filtrati)\Carica Filmato, fotogramma 1289.jpg"
"d83fc929b7d5b4aac0e1f7901b99d4cd","8dd4380decfba1b51d92454e92a6cc45e378e380","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (non filtrati)\Carica Filmato, fotogramma 1317.jpg"
"418e34e42e1fd66e4e363ce207b2b95b","c0ffe2dc2743546d0de3e23c5a8c6ef4a3c60e16","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (non filtrati)\Carica Filmato, fotogramma 1406.jpg"
"c9775808407c007123ec3364ec8a5cd2","ee2ee08b682b4b7ea162ec2bb4638ef855f0d5a5","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (non filtrati)\Carica Filmato, fotogramma 1562.jpg"
"03fbc8c30922d7699ebc55cc7ebf3274","562dea81f867876627d12d717d5de5f4975c9c5e","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (non filtrati)\Carica Filmato, fotogramma 1588.jpg"

"c3b7a9b3cc5ce965abeefc344a261917","c2e54cb725de0387eccd44d73608f116ba25fa22","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (filtrati)\frame 1045 - estrapolazione altezza (filtrato).jpg"
"73b21d5c0630bfb85e857598150049d7","16049f1323a2ec33d5937932394575bfc6ea8716","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (filtrati)\frame 1045 - estrapolazione altezza (non filtrato).jpg"
"b5f56c2e4b7b14d61136ff1774f30e54","8aed3dae3affa0fec61c2cb9d1a45ec75bd979b7","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (filtrati)\frame 1045 - estrapolazione altezza.afp"
"09140c99101fd834a6e78f192d38f6ec","77e79ba17b3aed67e7ac9a1d7880aa2a14f663b5","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (filtrati)\frame 428 - miglioramento volto (filtrato).jpg"
"265f43dc4c09b1c6b65db3347ed917b8","38d3733eeef3da7ebaffdcf9a61334fb1fec1cdf","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (filtrati)\frame 428 - miglioramento volto (non filtrato).jpg"
"39ca6079600d08d2258b8d2ef8d5118c","0f0756bb582d473d591635a876a6a137deefa794","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (filtrati)\frame 428 - miglioramento volto.afp"
"3eff6bcf4e1af7129ed6e64df70471b0","2f367ab46503594c22060e450bd8a421b66bab7c","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (filtrati)\frame 838 - estrazione marca casco (filtrato).jpg"
"d9c33ab27fff8b19a9caadf2b80d0a31","18a48b08d846d2c097216bc58b3f6211172d2aa5","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (filtrati)\frame 838 - estrazione marca casco (non filtrato).jpg"
"930a62c0bc330a04dc762bcbe673bbc2","bdc32722f796b1d0c3d6f7f844039c38a65d1880","Materiale\C:\Users\stefa\Desktop\Materiale\Fotogrammi (filtrati)\frame 838 - estrazione marca casco.afp"

"994d0e8cd86274b44b6d58825f783e4c","5080ffc16a4893b056d8c5ab73f4a787be3d601f","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\logo_five.png"
"cce6ab4c8fd606f200982bc6f899be9c","e00a38f32653b01d8750754f7cf87334c2bc4b5d","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave.pdf"
"6109810c4008391750dbfebdc70b9360","dee4cc7fe008639c9bba9525ab01cb710098090b","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-78.jpg"
"2a432b8577120d5fb9e053df9e120ea9","c59f5a09e7c713ffe3d09df4115de7c412600af6","Materiale\C:\Users\stefa\Desktop\Materiale\report-video-copia-slave\video-copia-slave-bookmark5-5-118.jpg"
